Unnamed: 0,Date,Squad,Opponent,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,Player_xG,npxG,xAG,SCA,GCA,PassCmp,PassAttm,PassCmp%,PrgPass,Carries,PrgCarries,TakeonsAtt,TakeonsSucc,match_id
21,2024-02-05,Manchester City,Brentford,85,0,1,0,0,3,1,0,0,23,0,0,0,0.7,0.7,0.3,2,1,12,17,70.6,1,15,1,0,0,22
22,2024-02-10,Manchester City,Everton,90,2,0,0,0,4,2,0,0,22,0,0,0,0.7,0.7,0.1,3,1,12,13,92.3,1,12,1,3,2,23
23,2024-02-17,Manchester City,Chelsea,90,0,0,0,0,9,2,0,0,26,1,0,0,1.6,1.6,0.1,2,0,9,12,75.0,0,7,0,0,0,24
24,2024-02-20,Manchester City,Brentford,90,1,0,0,0,6,4,0,0,30,0,0,0,0.9,0.9,0.0,1,0,15,16,93.8,3,22,2,1,1,25
25,2024-02-24,Manchester City,Bournemouth,74,0,0,0,0,4,2,0,0,29,0,0,0,0.4,0.4,0.0,3,1,16,21,76.2,1,19,2,1,0,26
26,2024-03-03,Manchester City,Manchester Utd,90,1,0,0,0,4,1,0,0,14,0,0,0,1.6,1.6,0.0,2,0,5,7,71.4,0,8,0,2,0,27
27,2024-03-10,Manchester City,Liverpool,90,0,0,0,0,1,1,0,0,19,1,0,0,0.1,0.1,0.1,4,0,12,15,80.0,2,11,2,3,1,28
28,2024-03-31,Manchester City,Arsenal,90,0,0,0,0,4,0,0,0,19,0,0,0,0.3,0.3,0.0,1,0,7,11,63.6,0,13,1,0,0,29
29,2024-04-03,Manchester City,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,30
30,2024-04-06,Manchester City,Crystal Palace,90,1,0,0,0,2,2,0,0,22,0,0,0,0.6,0.6,0.3,2,0,13,16,81.3,0,12,2,3,1,31
31,2024-04-13,Manchester City,Luton Town,80,1,0,1,1,4,1,0,0,24,0,1,0,1.8,1.0,0.1,3,0,12,15,80.0,0,11,2,0,0,32
32,2024-04-25,Manchester City,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,33
33,2024-04-28,Manchester City,Nott'ham Forest,29,1,0,0,0,2,2,0,0,17,0,0,0,0.4,0.4,0.0,2,0,11,12,91.7,0,11,4,3,1,34
34,2024-05-04,Manchester City,Wolves,81,4,0,2,2,6,5,0,0,27,0,0,0,2.1,0.5,0.1,1,1,10,15,66.7,2,12,2,1,0,35
35,2024-05-11,Manchester City,Fulham,81,0,0,0,0,3,0,0,0,17,1,0,1,0.6,0.6,0.0,2,0,8,10,80.0,2,8,2,0,0,36
36,2024-05-14,Manchester City,Tottenham,89,2,0,1,1,1,1,0,0,23,0,0,1,1.7,0.9,0.0,0,0,12,14,85.7,3,6,0,0,0,37
37,2024-05-19,Manchester City,West Ham,90,0,0,0,0,4,0,0,0,25,0,0,0,0.7,0.7,0.0,3,1,13,17,76.5,1,11,0,1,0,38
