Date,Time,Comp,Round,Day,Venue,Result,Goals For,Goals Against,Opponent,Goals,Shots,Shots on Target,SoT%,Goals per Shot,Goals per SoT,Shot Distance,Free Kicks,Penalty Goals,Penalty Attempts,Expected Goals,Non-Penalty xG,NP xG per Shot,G-xG,NP:G-xG,match_id
2023-11-12,16:30 (22:15),Premier League,Matchweek 12,Sun,Away,D,4,4,Chelsea,0.6666666666666666,0.3529411764705882,0.6,0.643,0.3134328358208955,0.33,0.7603305785123967,0.5,0.5,0.5,0.6486486486486486,0.5161290322580646,0.3333333333333333,0.4736842105263159,0.4385964912280702,12
2023-11-25,12:30 (18:15),Premier League,Matchweek 13,Sat,Home,D,1,1,Liverpool,0.16666666666666666,0.4117647058823529,0.3333333333333333,0.313,0.08955223880597014,0.2,0.7355371900826447,0.5,0.0,0.0,0.2162162162162162,0.25806451612903225,0.12121212121212122,0.22807017543859653,0.22807017543859653,13
2023-12-03,16:30 (22:15),Premier League,Matchweek 14,Sun,Home,D,3,3,Tottenham,0.3333333333333333,0.4411764705882353,0.26666666666666666,0.23500000000000001,0.1791044776119403,0.5,0.49586776859504134,0.0,0.0,0.0,0.5675675675675675,0.6774193548387097,0.3333333333333333,0.17543859649122812,0.17543859649122812,14
2023-12-06,20:15 (02:00),Premier League,Matchweek 15,Wed,Away,L,0,1,Aston Villa,0.0,0.0,0.13333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.03225806451612903,0.9999999999999999,0.17543859649122812,0.17543859649122812,15
2023-12-10,14:00 (19:45),Premier League,Matchweek 16,Sun,Away,W,2,1,Luton Town,0.3333333333333333,0.47058823529411764,0.4,0.33299999999999996,0.16417910447761191,0.33,0.933884297520661,0.5,0.0,0.0,0.29729729729729726,0.3548387096774194,0.1515151515151515,0.3508771929824562,0.3508771929824562,16
2023-12-16,15:00 (20:45),Premier League,Matchweek 17,Sat,Home,D,2,2,Crystal Palace,0.3333333333333333,0.5,0.6,0.474,0.16417910447761191,0.22,0.8925619834710742,0.0,0.0,0.0,0.29729729729729726,0.3548387096774194,0.12121212121212122,0.3508771929824562,0.3508771929824562,17
2023-12-27,20:15 (02:00),Premier League,Matchweek 19,Wed,Away,W,3,1,Everton,0.5,0.5882352941176471,0.5333333333333333,0.364,0.1343283582089552,0.25,0.9999999999999999,0.5,0.5,0.5,0.5135135135135135,0.4193548387096775,0.1515151515151515,0.3859649122807018,0.31578947368421056,18
2023-12-30,15:00 (20:45),Premier League,Matchweek 20,Sat,Home,W,2,0,Sheffield Utd,0.3333333333333333,0.47058823529411764,0.26666666666666666,0.222,0.16417910447761191,0.5,0.8264462809917353,0.0,0.0,0.0,0.45945945945945943,0.5483870967741936,0.24242424242424243,0.24561403508771934,0.24561403508771934,19
2024-01-13,17:30 (23:15),Premier League,Matchweek 21,Sat,Away,W,3,2,Newcastle Utd,0.5,0.7352941176470588,0.7333333333333333,0.40700000000000003,0.16417910447761191,0.27,0.9834710743801652,1.0,0.0,0.0,0.6756756756756757,0.8064516129032259,0.2121212121212121,0.28070175438596495,0.28070175438596495,20
2024-01-31,19:30 (01:15),Premier League,Matchweek 22,Wed,Home,W,3,1,Burnley,0.5,0.3529411764705882,0.26666666666666666,0.28600000000000003,0.3134328358208955,0.75,0.6942148760330579,0.5,0.0,0.0,0.32432432432432423,0.3870967741935484,0.2727272727272727,0.5087719298245614,0.5087719298245614,21
2024-02-05,20:00 (01:45),Premier League,Matchweek 23,Mon,Away,W,3,1,Brentford,0.5,0.676470588235294,1.0,0.6,0.1791044776119403,0.2,0.9752066115702479,0.0,0.0,0.0,0.43243243243243246,0.5161290322580646,0.12121212121212122,0.4385964912280702,0.4385964912280702,22
2024-02-10,12:30 (18:15),Premier League,Matchweek 24,Sat,Home,W,2,0,Everton,0.3333333333333333,0.5,0.2,0.158,0.16417910447761191,0.67,0.8264462809917353,0.0,0.0,0.0,0.29729729729729726,0.3548387096774194,0.1515151515151515,0.3508771929824562,0.3508771929824562,23
2024-02-17,17:30 (23:15),Premier League,Matchweek 25,Sat,Home,D,1,1,Chelsea,0.16666666666666666,0.8529411764705882,0.3333333333333333,0.161,0.04477611940298507,0.2,0.7024793388429752,0.5,0.0,0.0,0.5675675675675675,0.6774193548387097,0.1515151515151515,0.0,0.0,24
