Round,Opponent,Venue,days_since_first_match,Result,Total_Shots_team,Total_SoT_team,Total_xG_team,Total_Possession,Goals_Per_Match_team,Goals_Conceded_Per_Match_team,Goals_Scored_Haaland,SoT_Haaland,Expected_Goals_Haaland,Non_Penalty_xG_Haaland,xG_per_Shot_Haaland,Shot_Accuracy_Haaland,Goals_Per_Shot_Haaland,Assists_Haaland,Minutes_Played_Haaland,xG_Per_Minute_Haaland,Goals_Per_Minute_Haaland,SCA_Per_Minute_Haaland,GCA_Per_Minute_Haaland,Match_Impact_Haaland,Home_Away,Opponent_Strength,Match_Event_Influence,Match_Tempo,Expected Goals
5,17,0,36,2,29,13,3.6,68,0.6,0.2,1,13,3.6,3.6,0.12413793103448276,0.4482758620689655,0.10344827586206896,0,89,0.040449438202247195,0.033707865168539325,0.02247191011235955,0.0,5,0,-0.51,2,0.3258426966292135,3.6
5,17,0,36,2,29,13,3.6,68,0.6,0.2,1,13,3.6,3.6,0.12413793103448276,0.4482758620689655,0.10344827586206896,0,89,0.040449438202247195,0.033707865168539325,0.02247191011235955,0.0,5,0,-0.51,2,0.3258426966292135,3.6
5,17,0,36,2,29,13,3.6,68,0.6,0.2,1,13,3.6,3.6,0.12413793103448276,0.4482758620689655,0.10344827586206896,0,89,0.040449438202247195,0.033707865168539325,0.02247191011235955,0.0,5,0,-0.51,2,0.3258426966292135,3.6
5,17,0,36,2,29,13,3.6,68,0.6,0.2,1,13,3.6,3.6,0.12413793103448276,0.4482758620689655,0.10344827586206896,0,89,0.040449438202247195,0.033707865168539325,0.02247191011235955,0.0,5,0,-0.51,2,0.3258426966292135,3.6
5,17,0,36,2,29,13,3.6,68,0.6,0.2,1,13,3.6,3.6,0.12413793103448276,0.4482758620689655,0.10344827586206896,0,89,0.040449438202247195,0.033707865168539325,0.02247191011235955,0.0,5,0,-0.51,2,0.3258426966292135,3.6
5,17,0,36,2,29,13,3.6,68,0.6,0.2,1,13,3.6,3.6,0.12413793103448276,0.4482758620689655,0.10344827586206896,0,89,0.040449438202247195,0.033707865168539325,0.02247191011235955,0.0,5,0,-0.51,2,0.3258426966292135,3.6
5,17,0,36,2,29,13,3.6,68,0.6,0.2,1,13,3.6,3.6,0.12413793103448276,0.4482758620689655,0.10344827586206896,0,89,0.040449438202247195,0.033707865168539325,0.02247191011235955,0.0,5,0,-0.51,2,0.3258426966292135,3.6
5,17,0,36,2,29,13,3.6,68,0.6,0.2,1,13,3.6,3.6,0.12413793103448276,0.4482758620689655,0.10344827586206896,0,89,0.040449438202247195,0.033707865168539325,0.02247191011235955,0.0,5,0,-0.51,2,0.3258426966292135,3.6
5,17,0,36,2,29,13,3.6,68,0.6,0.2,1,13,3.6,3.6,0.12413793103448276,0.4482758620689655,0.10344827586206896,0,89,0.040449438202247195,0.033707865168539325,0.02247191011235955,0.0,5,0,-0.51,2,0.3258426966292135,3.6
6,14,1,43,2,7,4,1.3,57,0.3333333333333333,0.0,1,4,1.3,1.3,0.18571428571428572,0.5714285714285714,0.2857142857142857,0,90,0.014444444444444446,0.022222222222222223,0.022222222222222223,0.0,4,0,-0.44,2,0.07777777777777778,1.3
6,14,1,43,2,7,4,1.3,57,0.3333333333333333,0.0,1,4,1.3,1.3,0.18571428571428572,0.5714285714285714,0.2857142857142857,0,90,0.014444444444444446,0.022222222222222223,0.022222222222222223,0.0,4,0,-0.44,2,0.07777777777777778,1.3
7,18,0,50,1,23,8,0.9,68,0.14285714285714285,0.2857142857142857,0,8,0.9,0.9,0.0391304347826087,0.34782608695652173,0.043478260869565216,0,90,0.01,0.011111111111111112,0.011111111111111112,0.0,2,0,-0.54,-1,0.25555555555555554,0.9
8,0,0,58,1,4,0,0.5,51,0.0,0.125,0,0,0.5,0.5,0.125,0.0,0.0,0,90,0.005555555555555556,0.0,0.022222222222222223,0.0,2,0,4.07,-1,0.044444444444444446,0.5
