round,expected goals,venue,opponent,goals,shots,touches,ast,passcmp,passcmp%,min,poss,gca,sca,gls,sh,rolling_expected goals,cumulative_expected goals,rolling_goals,cumulative_goals,rolling_shots,cumulative_shots,rolling_touches,cumulative_touches,rolling_poss,cumulative_poss,rolling_gca,cumulative_gca,rolling_sca,cumulative_sca,rolling_haaland_gls,cumulative_haaland_gls,rolling_haaland_ast,cumulative_haaland_ast,rolling_haaland_sh,cumulative_haaland_sh,rolling_haaland_min,cumulative_haaland_min,rolling_haaland_touches,cumulative_haaland_touches,rolling_haaland_poss,cumulative_haaland_poss,rolling_haaland_gca,cumulative_haaland_gca,rolling_haaland_sca,cumulative_haaland_sca,haaland_performance_rating,rolling_haaland_rating,cumulative_haaland_rating,defenders,midfielders,forwards,defenders_opp,midfielders_opp,forwards_opp,opponent_strength
11,1.8999999999999997,Home,Bournemouth,6.0,21.0,13.0,0.0,7.0,77.8,45.0,65.0,0.0,2.0,0.0,3.0,1.5,1.97,1.6,2.2,12.8,15.9,19.8,20.1,58.2,63.0,0.2,0.3,1.2,1.7,0.8,1.1,0.2,0.2,1.8,3.6,90.0,88.8,19.8,20.1,58.2,63.0,0.2,0.3,1.2,1.7,0.04222222222222222,0.05888888888888888,0.07907097141231688,3,4,3,5,4,1,-0.48
12,2.9,Away,Chelsea,4.0,14.0,19.0,1.0,10.0,83.3,90.0,55.0,1.0,3.0,2.0,3.0,1.6199999999999999,1.9636363636363638,2.4,2.5454545454545454,15.6,16.363636363636363,17.6,19.454545454545453,59.8,63.18181818181818,0.2,0.2727272727272727,1.2,1.7272727272727273,0.6,1.0,0.2,0.18181818181818182,2.0,3.5454545454545454,81.0,84.81818181818181,17.6,19.454545454545453,59.8,63.18181818181818,0.2,0.2727272727272727,1.2,1.7272727272727273,0.15444444444444444,0.05555555555555556,0.07572108512230827,3,6,1,4,5,1,0.88
13,1.3,Home,Liverpool,1.0,16.0,19.0,0.0,7.0,70.0,90.0,59.0,0.0,0.0,1.0,5.0,2.02,2.0416666666666665,3.0,2.6666666666666665,13.8,16.166666666666668,18.6,19.416666666666668,57.2,62.5,0.4,0.3333333333333333,1.6,1.8333333333333333,1.0,1.0833333333333333,0.4,0.25,2.4,3.5,81.0,85.25,18.6,19.416666666666668,57.2,62.5,0.4,0.3333333333333333,1.6,1.8333333333333333,0.058888888888888886,0.08444444444444443,0.08228136506581962,3,6,1,4,3,3,3.45
14,2.6,Home,Tottenham,2.0,17.0,24.0,1.0,12.0,80.0,90.0,55.0,2.0,4.0,0.0,5.0,2.18,1.9846153846153847,3.2,2.5384615384615383,16.2,16.153846153846153,18.4,19.384615384615383,58.8,62.23076923076923,0.4,0.3076923076923077,1.2,1.6923076923076923,1.2,1.0769230769230769,0.4,0.23076923076923078,3.4,3.6153846153846154,81.0,85.61538461538461,18.4,19.384615384615383,58.8,62.23076923076923,0.4,0.3076923076923077,1.2,1.6923076923076923,0.06222222222222222,0.09511111111111112,0.08048194382144033,3,6,1,4,5,1,0.71
15,0.6,Away,Aston Villa,0.0,2.0,15.0,0.0,7.0,70.0,90.0,54.0,0.0,1.0,0.0,2.0,2.54,2.0285714285714285,3.2,2.5,17.6,16.214285714285715,19.0,19.714285714285715,58.8,61.714285714285715,0.8,0.42857142857142855,2.0,1.8571428571428572,1.0,1.0,0.6,0.2857142857142857,4.0,3.7142857142857144,81.0,85.92857142857143,19.0,19.714285714285715,58.8,61.714285714285715,0.8,0.42857142857142855,2.0,1.8571428571428572,0.006666666666666666,0.09688888888888889,0.07917767799292476,3,6,1,4,5,1,0.57
16,1.6,Away,Luton Town,2.0,18.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,1.8599999999999999,1.9333333333333333,2.6,2.3333333333333335,14.0,15.266666666666667,18.0,19.4,57.6,61.2,0.6,0.4,2.0,1.8,0.6,0.9333333333333333,0.4,0.26666666666666666,3.6,3.6,81.0,86.2,18.0,19.4,57.6,61.2,0.6,0.4,2.0,1.8,1.6,0.06488888888888888,0.07434361057117421,4,5,1,3,4,3,-0.9
17,1.6,Home,Crystal Palace,2.0,19.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,1.8,1.9125,1.8,2.3125,13.4,15.4375,15.4,18.1875,57.6,61.4375,0.6,0.375,1.6,1.6875,0.6,0.875,0.4,0.25,3.0,3.375,72.0,80.8125,15.4,18.1875,57.6,61.4375,0.6,0.375,1.6,1.6875,1.6,0.37644444444444447,0.16969713491047583,4,5,1,5,4,1,-0.18
18,2.3,Home,Brentford,1.0,25.0,30.0,0.0,15.0,93.8,90.0,70.0,0.0,1.0,1.0,6.0,1.5400000000000003,1.8941176470588237,1.4,2.2941176470588234,14.4,15.647058823529411,11.6,17.11764705882353,61.4,62.1764705882353,0.4,0.35294117647058826,1.0,1.588235294117647,0.2,0.8235294117647058,0.2,0.23529411764705882,2.4,3.176470588235294,54.0,76.05882352941177,11.6,17.11764705882353,61.4,62.1764705882353,0.4,0.35294117647058826,1.0,1.588235294117647,0.06999999999999999,0.6655555555555557,0.2538325975628008,4,5,1,3,5,2,-0.02
19,2.4,Away,Everton,3.0,22.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,1.7400000000000002,1.9166666666666667,1.4,2.2222222222222223,16.2,16.166666666666668,13.8,17.833333333333332,63.6,62.611111111111114,0.4,0.3333333333333333,1.2,1.5555555555555556,0.2,0.8333333333333334,0.2,0.2222222222222222,2.6,3.3333333333333335,54.0,76.83333333333333,13.8,17.833333333333332,63.6,62.611111111111114,0.4,0.3333333333333333,1.2,1.5555555555555556,2.4,0.6677777777777779,0.24361967547597851,4,5,1,4,5,1,-0.1
20,2.2,Home,Sheffield Utd,2.0,18.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,1.7,1.9421052631578946,1.6,2.263157894736842,17.2,16.473684210526315,9.0,16.894736842105264,67.0,63.10526315789474,0.0,0.3157894736842105,0.4,1.4736842105263157,0.2,0.7894736842105263,0.0,0.21052631578947367,1.6,3.1578947368421053,36.0,72.78947368421052,9.0,16.894736842105264,67.0,63.10526315789474,0.0,0.3157894736842105,0.4,1.4736842105263157,2.2,1.1353333333333333,0.35711337676671645,4,5,1,3,4,3,-1.03
