round,expected goals,venue_xg,opponent_xg,goals,shots,touches,ast,passcmp,passcmp%,min,poss,gca,sca,gls,sh,rolling_xg,cumulative_xg,rolling_goals,cumulative_goals,rolling_shots,cumulative_shots,rolling_touches,cumulative_touches,rolling_possession,cumulative_possession,rolling_assists,cumulative_assists,rolling_passcmp,cumulative_passcmp,rolling_passaccuracy,cumulative_passaccuracy,rolling_minutesplayed,cumulative_minutesplayed,rolling_gca,cumulative_gca,rolling_sca,cumulative_sca,rolling_playergoals,cumulative_playergoals,rolling_playershots,cumulative_playershots,defenders,midfielders,forwards,defenders_opp,midfielders_opp,forwards_opp,haaland_impact_last5,haaland_impact_cumulative,opponent_strength,opponent_haaland,venue_haaland,days_since_first_match,result,total_shots_team,total_sot_team,total_xg_team,total_possession,goals_per_match_team,goals_conceded_per_match_team,goals_scored_haaland,sot_haaland,expected_goals_haaland,non_penalty_xg_haaland,xg_per_shot_haaland,shot_accuracy_haaland,goals_per_shot_haaland,assists_haaland,minutes_played_haaland,xg_per_minute_haaland,goals_per_minute_haaland,sca_per_minute_haaland,gca_per_minute_haaland,match_impact_haaland,home_away,match_event_influence,match_tempo
4,2.2,Home,Fulham,60,72,204,12,48,66.7,90.0,68.0,1.0,2.0,3.0,3.0,2.15,2.15,26.0,26.0,124.0,124.0,155.0,155.0,67.75,67.75,3.0,3.0,48.0,48.0,64.375,64.375,87.25,87.25,0.5,0.5,2.25,2.25,1.5,1.5,4.5,4.5,4,5,1,4,3,3,-0.6499999999999999,-0.6499999999999999,-0.4,9.0,1.0,22.0,2.0,6.0,4.0,2.2,68.0,1.25,0.25,3.0,4.0,2.2,1.4,0.3666666666666667,0.6666666666666666,0.8333333333333334,1.0,90.0,0.0244444444444444,0.0555555555555555,0.0222222222222222,0.0111111111111111,8.0,0.0,4.0,0.0666666666666666
4,2.2,Home,Fulham,60,72,204,12,48,66.7,90.0,68.0,1.0,2.0,3.0,3.0,2.15,2.15,26.0,26.0,124.0,124.0,155.0,155.0,67.75,67.75,3.0,3.0,48.0,48.0,64.375,64.375,87.25,87.25,0.5,0.5,2.25,2.25,1.5,1.5,4.5,4.5,4,5,1,4,3,3,-0.6499999999999999,-0.6499999999999999,-0.4,9.0,1.0,22.0,2.0,6.0,4.0,2.2,68.0,1.25,0.25,3.0,4.0,2.2,1.4,0.3666666666666667,0.6666666666666666,0.8333333333333334,1.0,90.0,0.0244444444444444,0.0555555555555555,0.0222222222222222,0.0111111111111111,8.0,0.0,4.0,0.0666666666666666
4,2.2,Home,Fulham,60,72,204,12,48,66.7,90.0,68.0,1.0,2.0,3.0,3.0,2.15,2.15,26.0,26.0,124.0,124.0,155.0,155.0,67.75,67.75,3.0,3.0,48.0,48.0,64.375,64.375,87.25,87.25,0.5,0.5,2.25,2.25,1.5,1.5,4.5,4.5,4,5,1,4,3,3,-0.6499999999999999,-0.6499999999999999,-0.4,9.0,1.0,22.0,2.0,6.0,4.0,2.2,68.0,1.25,0.25,3.0,4.0,2.2,1.4,0.3666666666666667,0.6666666666666666,0.8333333333333334,1.0,90.0,0.0244444444444444,0.0555555555555555,0.0222222222222222,0.0111111111111111,8.0,0.0,4.0,0.0666666666666666
4,2.2,Home,Fulham,60,72,204,12,48,66.7,90.0,68.0,1.0,2.0,3.0,3.0,2.15,2.15,26.0,26.0,124.0,124.0,155.0,155.0,67.75,67.75,3.0,3.0,48.0,48.0,64.375,64.375,87.25,87.25,0.5,0.5,2.25,2.25,1.5,1.5,4.5,4.5,4,5,1,4,3,3,-0.6499999999999999,-0.6499999999999999,-0.4,9.0,1.0,22.0,2.0,6.0,4.0,2.2,68.0,1.25,0.25,3.0,4.0,2.2,1.4,0.3666666666666667,0.6666666666666666,0.8333333333333334,1.0,90.0,0.0244444444444444,0.0555555555555555,0.0222222222222222,0.0111111111111111,8.0,0.0,4.0,0.0666666666666666
4,2.2,Home,Fulham,60,72,204,12,48,66.7,90.0,68.0,1.0,2.0,3.0,3.0,2.15,2.15,26.0,26.0,124.0,124.0,155.0,155.0,67.75,67.75,3.0,3.0,48.0,48.0,64.375,64.375,87.25,87.25,0.5,0.5,2.25,2.25,1.5,1.5,4.5,4.5,4,5,1,4,3,3,-0.6499999999999999,-0.6499999999999999,-0.4,9.0,1.0,22.0,2.0,6.0,4.0,2.2,68.0,1.25,0.25,3.0,4.0,2.2,1.4,0.3666666666666667,0.6666666666666666,0.8333333333333334,1.0,90.0,0.0244444444444444,0.0555555555555555,0.0222222222222222,0.0111111111111111,8.0,0.0,4.0,0.0666666666666666
4,2.2,Home,Fulham,60,72,204,12,48,66.7,90.0,68.0,1.0,2.0,3.0,3.0,2.15,2.15,26.0,26.0,124.0,124.0,155.0,155.0,67.75,67.75,3.0,3.0,48.0,48.0,64.375,64.375,87.25,87.25,0.5,0.5,2.25,2.25,1.5,1.5,4.5,4.5,4,5,1,4,3,3,-0.6499999999999999,-0.6499999999999999,-0.4,9.0,1.0,22.0,2.0,6.0,4.0,2.2,68.0,1.25,0.25,3.0,4.0,2.2,1.4,0.3666666666666667,0.6666666666666666,0.8333333333333334,1.0,90.0,0.0244444444444444,0.0555555555555555,0.0222222222222222,0.0111111111111111,8.0,0.0,4.0,0.0666666666666666
4,2.2,Home,Fulham,60,72,204,12,48,66.7,90.0,68.0,1.0,2.0,3.0,3.0,2.15,2.15,26.0,26.0,124.0,124.0,155.0,155.0,67.75,67.75,3.0,3.0,48.0,48.0,64.375,64.375,87.25,87.25,0.5,0.5,2.25,2.25,1.5,1.5,4.5,4.5,4,5,1,4,3,3,-0.6499999999999999,-0.6499999999999999,-0.4,9.0,1.0,22.0,2.0,6.0,4.0,2.2,68.0,1.25,0.25,3.0,4.0,2.2,1.4,0.3666666666666667,0.6666666666666666,0.8333333333333334,1.0,90.0,0.0244444444444444,0.0555555555555555,0.0222222222222222,0.0111111111111111,8.0,0.0,4.0,0.0666666666666666
4,2.2,Home,Fulham,60,72,204,12,48,66.7,90.0,68.0,1.0,2.0,3.0,3.0,2.15,2.15,26.0,26.0,124.0,124.0,155.0,155.0,67.75,67.75,3.0,3.0,48.0,48.0,64.375,64.375,87.25,87.25,0.5,0.5,2.25,2.25,1.5,1.5,4.5,4.5,4,5,1,4,3,3,-0.6499999999999999,-0.6499999999999999,-0.4,9.0,1.0,22.0,2.0,6.0,4.0,2.2,68.0,1.25,0.25,3.0,4.0,2.2,1.4,0.3666666666666667,0.6666666666666666,0.8333333333333334,1.0,90.0,0.0244444444444444,0.0555555555555555,0.0222222222222222,0.0111111111111111,8.0,0.0,4.0,0.0666666666666666
4,2.2,Home,Fulham,60,72,204,12,48,66.7,90.0,68.0,1.0,2.0,3.0,3.0,2.15,2.15,26.0,26.0,124.0,124.0,155.0,155.0,67.75,67.75,3.0,3.0,48.0,48.0,64.375,64.375,87.25,87.25,0.5,0.5,2.25,2.25,1.5,1.5,4.5,4.5,4,5,1,4,3,3,-0.6499999999999999,-0.6499999999999999,-0.4,9.0,1.0,22.0,2.0,6.0,4.0,2.2,68.0,1.25,0.25,3.0,4.0,2.2,1.4,0.3666666666666667,0.6666666666666666,0.8333333333333334,1.0,90.0,0.0244444444444444,0.0555555555555555,0.0222222222222222,0.0111111111111111,8.0,0.0,4.0,0.0666666666666666
4,2.2,Home,Fulham,60,72,204,12,48,66.7,90.0,68.0,1.0,2.0,3.0,3.0,2.15,2.15,26.0,26.0,124.0,124.0,155.0,155.0,67.75,67.75,3.0,3.0,48.0,48.0,64.375,64.375,87.25,87.25,0.5,0.5,2.25,2.25,1.5,1.5,4.5,4.5,4,5,1,4,3,3,-0.6499999999999999,-0.6499999999999999,-0.4,9.0,1.0,22.0,2.0,6.0,4.0,2.2,68.0,1.25,0.25,3.0,4.0,2.2,1.4,0.3666666666666667,0.6666666666666666,0.8333333333333334,1.0,90.0,0.0244444444444444,0.0555555555555555,0.0222222222222222,0.0111111111111111,8.0,0.0,4.0,0.0666666666666666
