minute,result,X,Y,xG,player,situation,season,shotType,Date,player_assisted,lastAction,time,squad,opponent,venue,GF,GA
10,SavedShot,0.909000015258789,0.6229999923706054,0.3656105101108551,Erling Haaland,OpenPlay,2023,LeftFoot,2023-12-06,Phil Foden,Throughball,20:15:00,Manchester City,Aston Villa,Away,0,1
10,SavedShot,0.975999984741211,0.53,0.6363734006881714,Erling Haaland,OpenPlay,2023,Head,2023-12-06,Bernardo Silva,Chipped,20:15:00,Manchester City,Aston Villa,Away,0,1
84,MissedShots,0.988000030517578,0.5770000076293945,0.1107935309410095,Erling Haaland,OpenPlay,2023,LeftFoot,2024-01-31,,CornerAwarded,19:30:00,Manchester City,Burnley,Home,3,1
84,BlockedShot,0.960999984741211,0.5690000152587891,0.0663301944732666,Erling Haaland,OpenPlay,2023,Head,2024-01-31,Matheus Nunes,Aerial,19:30:00,Manchester City,Burnley,Home,3,1
6,BlockedShot,0.9059999847412108,0.4620000076293945,0.1360410153865814,Erling Haaland,OpenPlay,2023,RightFoot,2024-02-05,Kevin De Bruyne,Pass,20:00:00,Manchester City,Brentford,Away,3,1
22,SavedShot,0.8809999847412109,0.43,0.265750378370285,Erling Haaland,OpenPlay,2023,LeftFoot,2024-02-05,,BallRecovery,20:00:00,Manchester City,Brentford,Away,3,1
27,BlockedShot,0.901999969482422,0.5170000076293946,0.1029148995876312,Erling Haaland,FromCorner,2023,LeftFoot,2024-02-05,,,20:00:00,Manchester City,Brentford,Away,3,1
26,MissedShots,0.94,0.4579999923706054,0.0853118300437927,Erling Haaland,OpenPlay,2023,Head,2024-02-10,Jéremy Doku,Aerial,12:30:00,Manchester City,Everton,Home,2,0
70,Goal,0.906999969482422,0.6229999923706054,0.0734920278191566,Erling Haaland,FromCorner,2023,RightFoot,2024-02-10,Nathan Aké,Rebound,12:30:00,Manchester City,Everton,Home,2,0
75,BlockedShot,0.8169999694824219,0.495,0.0724244639277458,Erling Haaland,OpenPlay,2023,LeftFoot,2024-02-10,Julián Álvarez,BallTouch,12:30:00,Manchester City,Everton,Home,2,0
84,Goal,0.86,0.395,0.3816374242305755,Erling Haaland,OpenPlay,2023,LeftFoot,2024-02-10,Kevin De Bruyne,TakeOn,12:30:00,Manchester City,Everton,Home,2,0
11,MissedShots,0.924000015258789,0.4909999847412109,0.3918219804763794,Erling Haaland,OpenPlay,2023,Head,2024-02-17,Julián Álvarez,Cross,17:30:00,Manchester City,Chelsea,Home,1,1
27,BlockedShot,0.915,0.6669999694824219,0.0256069544702768,Erling Haaland,SetPiece,2023,Head,2024-02-17,Kevin De Bruyne,Chipped,17:30:00,Manchester City,Chelsea,Home,1,1
44,MissedShots,0.9590000152587892,0.45,0.0821221619844436,Erling Haaland,FromCorner,2023,Head,2024-02-17,,,17:30:00,Manchester City,Chelsea,Home,1,1
47,MissedShots,0.8830000305175781,0.499000015258789,0.0251697171479463,Erling Haaland,OpenPlay,2023,Head,2024-02-17,Nathan Aké,Aerial,17:30:00,Manchester City,Chelsea,Home,1,1
50,MissedShots,0.9159999847412108,0.5670000076293945,0.4909155666828155,Erling Haaland,OpenPlay,2023,LeftFoot,2024-02-17,Phil Foden,Cross,17:30:00,Manchester City,Chelsea,Home,1,1
60,BlockedShot,0.948000030517578,0.4879999923706055,0.1017534807324409,Erling Haaland,OpenPlay,2023,LeftFoot,2024-02-17,Julián Álvarez,BallTouch,17:30:00,Manchester City,Chelsea,Home,1,1
64,SavedShot,0.924000015258789,0.5890000152587891,0.0993904247879982,Erling Haaland,OpenPlay,2023,LeftFoot,2024-02-17,Jéremy Doku,Pass,17:30:00,Manchester City,Chelsea,Home,1,1
77,MissedShots,0.9340000152587892,0.519000015258789,0.3948966860771179,Erling Haaland,OpenPlay,2023,Head,2024-02-17,Kevin De Bruyne,Cross,17:30:00,Manchester City,Chelsea,Home,1,1
89,SavedShot,0.93,0.4429999923706054,0.0407108701765537,Erling Haaland,FromCorner,2023,Head,2024-02-17,Kevin De Bruyne,Aerial,17:30:00,Manchester City,Chelsea,Home,1,1
93,BlockedShot,0.94,0.5329999923706055,0.0869737565517425,Erling Haaland,OpenPlay,2023,Head,2024-02-17,Bernardo Silva,Aerial,17:30:00,Manchester City,Chelsea,Home,1,1
2,SavedShot,0.7930000305175782,0.2029999923706054,0.0137007543817162,Erling Haaland,OpenPlay,2023,LeftFoot,2024-02-20,,BallRecovery,18:30:00,Manchester City,Brentford,Home,1,0
8,MissedShots,0.895,0.5420000076293945,0.048311349004507,Erling Haaland,OpenPlay,2023,Head,2024-02-20,Bernardo Silva,Chipped,18:30:00,Manchester City,Brentford,Home,1,0
29,MissedShots,0.9009999847412108,0.499000015258789,0.1081277355551719,Erling Haaland,OpenPlay,2023,LeftFoot,2024-02-20,Oscar Bobb,Cross,18:30:00,Manchester City,Brentford,Home,1,0
